EIN,name,mission
510188251,FLATBUSH DEVELOPMENT CORPORATION,"FDC IS DEDICATED TO MEETING THE NEEDS OF A DIVERSE VIBRANT BROOKLYN. FDC IDENTIFIES RESPONDS TO THESE NEEDS BY BUILDING PARTNERSHIPS, CREATING PROGRAMS DEVELOPING CAMPAIGNS FOR ECONOMIC DEVELOPMENT, HOUSING, YOUTH, IMMIGRATION OTHER INITIATIVES THAT PROMOTE ENHANCED QUALITY OF LIFE, SAFETY, EQUITY PRESERVATION OF THEIR COMMUNITY."
463597471,AMATEUR ATHLETIC UNIONS OF THE US,Offer unique opportunity for the high-school student-athelete to be immersed into an environment of unmatched basketball performance offerings accompanied by world-class college preparatory academics.
237367331,PROJECT PLASE INC,"TO PROVIDE TRANSITIONAL HOUSING, PERMANENT HOUSING AND SUPPORTIVE SERVICES TO HOMELESS ADULTS.WE STRIVE THE MOST VULNERABLE AND UNDERSERVED,INCLUDING PERSONS WITH MENTAL ILLNESS, HIV/AIDS,ADDICTION,DEVELOPMENTAL DISABILITIES,AND EX-OFFENDERS,ETC.WE TREAT,RESTORE AND REHABILITATE."
460610587,ALPHA PSI OMEGA,NATIONAL HONOR SOCIETY FOR COLLEGE STUDENTS INVOLVED IN THEATRE
262731001,DUPAGE HOUSING SOLUTIONS INC,"PROVIDE PERMANENT SUPPORTIVE HOUSING FOR INDIVIDUALS AND FAMILIES WHO HAVE BEEN CHRONICALLY HOMELESS AS THE RESULT OF A DISABILITY, SUCH AS MENTAL HEALTH, SUBSTANCE ABUSE OR DISABLING HEALTH CONDITIONS."
810568467,EMPOWERMENT NETWORK,MENTAL HEALTH RESOURCE CENTER
815350598,MIND SHARE PARTNERS,"MIND SHARE PARTNERS' MISSION IS TO BUILD AWARENESS, SUPPORT, AND ACCEPTANCE IN THE WORKPLACE FOR PEOPLE WITH MENTAL HEALTH CONDITIONS."
680425402,Nepalis and Friends Cultural Association,To provide assistance to refugees from Napal.
263100372,LEEWAY-PUTNAM HOUSING CORPORATION,"TO PROVIDE HOUSING FACILITIES, AND IN PARTICULAR TO PROVIDE PERMANENT SUPPORTIVE HOUSING FOR HOMELESS PERSONS AND PERSONS WITH CHRONIC MENTAL ILLNESS. TO INTEGRATE RESIDENTS WITH SPECIAL NEEDS WITH RESIDENTS WHO DO NOT HAVE SPECIAL NEEDS, PROVIDE SERVICES SPECIALLY DESIGNED TO MEET THEIR PHYSICAL, SOCIAL, AND PSYCHOLOGICAL NEEDS, AND TO PROMOTE THEIR HEALTH, SECURITY, HAPPINESS, AND USEFULNESS IN LONGER LIVING. THE CHARGES FOR SUCH FACILITIES AND SERVICES ARE TO BE PREDICATED UPON THE PROVISION, MAINTENANCE, AND OPERATION THEREOF ON A NONPROFIT BASIS."
542034070,INSTITUTE FOR RESPONSIBLE,"THE INSTITUTE OFFERS CLASSES, INTERNSHIPS, ETC. TO EXCEPTIONAL MINORITY MALE COLLEGE STUDENTS."
251216330,COALITION FOR CHRISTIAN OUTREACH,"THE CCO (COALITION FOR CHRISTIAN OUTREACH) IS AN INTERDENOMINATIONAL CAMPUS MINISTRY ORGANIZATION WITH A MISSION OF ""TRANSFORMING COLLEGE STUDENTS TO TRANSFORM THE WORLD."" THE CCO IS SUPPORTED PRIMARILY THROUGH DONOR CONTRIBUTIONS AND PAYMENTS RECEIVED FOR STAFF SERVICES FROM PARTNERING ORGANIZATIONS. THE CCO'S VISION IS TO SEE A GENERATION OF COLLEGE STUDENTS TRANSFORMED BY THE POWER OF JESUS CHRIST AND HIS GOSPEL, IN PARTNERSHIP WITH THE LOCAL CHURCH, REACHING THE WORLD FOR THE GLORY OF GOD.THE CCO CALLS COLLEGE STUDENTS TO SERVE JESUS CHRIST WITH THEIR LIVES BY:1. SHARING THE GOSPEL WITH STUDENTS AND DEVELOPING PASSIONATE DISCIPLES OF JESUS CHRIST.2. SERVING TOGETHER WITH THE CHURCH AND INVITING STUDENTS INTO THE LIVES OF LOCAL CONGREGATIONS.3. GIVING STUDENTS A VISION FOR SERVING JESUS CHRIST IN THEIR STUDIES, JOBS, COMMUNITIES, AND FAMILIES."
626044288,THE FLORENCE CRITTENTON AGENCY INC,"THE MISSION OF THE FLORENCE CRITTENTON AGENCY (""FCA"") IS TO STRENGTHEN COMMUNITIES THROUGH EFFECTIVE PREVENTION AND TREATMENT SERVICES TO CHILDREN AND FAMILIES. FCA PROVIDES SUPPORT SERVICES THAT ADDRESS EDUCATIONAL NEEDS, BEHAVIORAL AND MENTAL HEALTH ISSUES, SUBSTANCE ABUSE EDUCATION AND TREATMENT, AS WELL AS ALTERNATIVE LIVING ARRANGEMENTS."
